setup_id,specialized_ticker,direction,description,signal_ids,oos_first_trigger,oos_last_trigger,oos_days_since_last_trigger,oos_total_trades,oos_open_trades,oos_sum_pnl_dollars,oos_final_nav,oos_nav_total_return_pct,expectancy,source_run
SETUP_0302,MSTR US Equity,long,HG1 Comdty_vs_SPY US Equity_beta_px_60d_z_120d is_high AND GOOGL US Equity_options_total_volume_spike_z_30d is_high,"SIG_02976, SIG_00681",2024-07-08,2025-09-04,0,8,1,29565.5222,129565.5222,29.5655,206308.9983,run_seed44_20250906_183803
SIG_01202|SIG_03493,MSTR US Equity,long,AAPL US Equity_liq.turnover_z_63 is_high AND RTY Index_x.spread_vs_sector_21 is_high,"SIG_01202, SIG_03493",2022-02-25,2025-09-04,4,12,1,29244.2101,129244.2101,29.2442,30234.2575,run_seed78_20250908_235457
SETUP_0022,MSTR US Equity,long,TSLA US Equity_MBA_Mortgage_Applications_days_to_high is_low AND ARM US Equity_S&P_Global_US_Composite_PMI_in_window is_high,"SIG_03879, SIG_04525",2022-07-07,2025-09-04,0,77,1,24901.4285,124901.4285,24.9014,-189.2209,run_seed48_20250907_022712
SIG_00494|SIG_03398,XLK US Equity,long,AMZN US Equity_flow.opt_vol_z30 is_high AND RTY Index_vol.updown_ratio_21 is_high,"SIG_00494, SIG_03398",2022-07-21,2025-09-05,3,12,1,23467.5641,123467.5641,23.4676,7998.7735,run_seed78_20250908_235457
SIG_02995|SIG_04681,TSLA US Equity,long,NKE US Equity_px.stoch14_z is_low AND XAU Curncy_px.mom_21 is_high,"SIG_02995, SIG_04681",2023-03-28,2025-09-03,5,11,1,22427.9671,122427.9671,22.428,26666.6093,run_seed78_20250908_235457
SIG_01202|SIG_02817,TSLA US Equity,long,AAPL US Equity_liq.turnover_z_63 is_high AND XLK US Equity_px.stoch14_z is_low,"SIG_01202, SIG_02817",2021-07-20,2025-09-04,4,25,1,19612.4023,119612.4023,19.6124,13304.1076,run_seed78_20250908_235457
SETUP_0011,QQQ US Equity,long,AAPL US Equity_opt.oi_mom_5 is_high,SIG_01033,2021-01-27,2025-09-02,1,62,1,19500.5473,119500.5473,19.5005,516.439,run_seed38_20250906_170035
SETUP_0076,TSLA US Equity,long,QQQ US Equity_px_range_polarity_z_60d is_high AND EEM US Equity_px_range_polarity_z_60d is_high,"SIG_00504, SIG_02395",2024-01-09,2025-09-03,0,34,1,16092.7528,116092.7528,16.0928,1270.835,run_seed44_20250906_224237
SIG_03363,TSLA US Equity,long,RTY Index_px.breakout_high_126 z_breakout_pos,SIG_03363,2023-08-01,2025-09-05,3,9,1,14938.7251,114938.7251,14.9387,32353.1509,run_seed78_20250908_235457
SETUP_0024,AMZN US Equity,long,AMZN US Equity_iv_call3m_shock_1d_z_30d is_high,SIG_00354,2021-01-05,2025-09-03,1,181,1,13869.202,113869.202,13.8692,190.0242,run_seed37_20250904_130458
SETUP_0070,AMD US Equity,long,MSFT US Equity_EV__EV_days_to_high is_high,SIG_03392,2024-09-03,2025-09-02,1,36,1,12783.0228,112783.0228,12.783,646.0191,run_seed38_20250906_170035
SETUP_0054,AMZN US Equity,long,TSLA US Equity_opt.pcr_z_21 is_high,SIG_00104,2024-09-05,2025-09-03,1,31,1,12292.727,112292.727,12.2927,961.7251,run_seed37_20250904_130458
SETUP_0016,QQQ US Equity,long,MSFT US Equity_EV__EV_tail_flag_1p5 is_high AND COIN US Equity_EV__EV_revision_tail_flag is_high,"SIG_03419, SIG_03754",2021-01-19,2025-09-02,1,84,1,12279.2097,112279.2097,12.2792,474.526,run_seed43_20250906_181934
SIG_01202|SIG_02907,LLY US Equity,long,AAPL US Equity_liq.turnover_z_63 is_high AND XLK US Equity_opt.rv_minus_iv_21 is_low,"SIG_01202, SIG_02907",2022-09-27,2025-09-04,4,8,1,11483.0015,111483.0015,11.483,12447.5614,run_seed78_20250908_235457
SETUP_0027,AMD US Equity,long,MSFT US Equity_EV__EV_tail_flag_1p5 is_high AND AAPL US Equity_EV__EV_revision_tail_flag is_high,"SIG_03419, SIG_03514",2021-10-05,2025-09-02,1,60,1,11076.9552,111076.9552,11.077,-70.6075,run_seed44_20250906_224237
SETUP_0018,AAPL US Equity,long,RTY Index_price.mom_21 is_high AND MSTR US Equity_opt.pcr_z_21 is_high,"SIG_01739, SIG_01351",2022-08-02,2025-09-04,0,28,1,10663.4769,110663.4769,10.6635,1772.0206,run_seed45_20250907_012720
